name,command,result,on
blacklist:68.12.150.82,blacklist,Added to SORBS DUHL,7/24/2023 10:27:58 PM
blacklist:68.12.150.82,blacklist,Added to Spamhaus ZEN,7/24/2023 10:27:58 PM
